time(s),Dist_cmd(m),Dept_cmd(m),AOA_cmd(Deg),SwingAng_cmd(Deg),BoomAng_cmd(Deg),ArmAng_cmd(Deg),BktAng_cmd(Deg),Dist_cur(m),Dept_cur(m),AOA_cur(Deg),SwingAng_cur(Deg),BoomAng_cur(Deg),ArmAng_cur(Deg),BktAng_cur(Deg),excavation state
1716454810.393857,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,6.825330730550547,-1.2993766021649287,-81.8,35.9,33.1,-98.0,-16.9,init_state
1716454810.4995642,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,6.904183054912487,-1.2916800644944118,-78.80000000000001,35.9,33.1,-98.4,-13.5,init_state
1716454810.6032975,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,6.986689234675109,-1.278463334360712,-75.5,35.8,33.1,-98.9,-9.7,init_state
1716454810.7222395,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,7.036250408134703,-1.2815461273816322,-72.9,35.8,33.0,-99.7,-5.8,init_state
1716454810.8247075,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,7.092891239090368,-1.2656875378376875,-69.99999999999999,35.7,33.0,-100.3,-2.7,init_state
1716454810.9274328,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,7.127165619963504,-1.2417829128034066,-67.9,35.7,33.1,-100.9,-0.1,init_state
1716454811.0301573,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,7.167418717876232,-1.2126196598417365,-65.89999999999999,35.7,33.2,-101.3,2.2,init_state
1716454811.1328778,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,7.196683308164862,-1.1985125726938926,-64.60000000000001,35.7,33.2,-101.5,3.7,init_state
1716454811.2346091,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,7.222526650675635,-1.1970787869188322,-63.59999999999999,35.7,33.1,-101.6,4.9,init_state
1716454811.3413246,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,7.24719791237161,-1.1839835818876019,-62.60000000000001,35.7,33.1,-101.7,6.0,init_state
